,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14
H1,162.86,175.72000000000003,120.0,100.0,132.0,120.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0
H2,162.86,81.43,120.0,100.0,132.0,120.0,44.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0
H3,81.43,167.14,120.0,100.0,0.0,0.0,88.0,0.0,540.0,142.5,0.0,0.0,0.0,0.0
H4,0.0,0.0,0.0,0.0,120.0,252.0,84.0,142.5,825.0,0.0,0.0,0.0,57.0,0.0
H5,0.0,0.0,0.0,0.0,240.0,0.0,84.0,307.5,540.0,285.0,0.0,0.0,0.0,0.0
H6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,200.0,106.67,114.0,95.0
H7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,142.5,100.0,103.33,66.0,190.0
H8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,103.33,180.0,195.0
